pageid	primary_platform	platforms
785	arcade game	arcade game
2215	apple macintosh	microsoft windows,classic mac os,linux
4098	sega game gear	arcade game,neo geo,3do interactive multiplayer,neo geo cd,game gear,super nintendo entertainment system,wonderswan
4965	arcade game	arcade game
6023	microsoft windows	microsoft windows
6259	sega saturn	dos,microsoft windows,amiga,macintosh,atari st,sega saturn,super nintendo entertainment system,playstation (console),n-gage (device)
6614	nintendo ds	super nintendo entertainment system,playstation (console),nintendo ds,mobile phone,ios,android (operating system)
7431	xbox	microsoft windows,xbox (console),os x,linux
7840	playstation	playstation (console)
8090	playstation 4	ms-dos,classic mac os,microsoft windows,os x,linux,playstation 4,playstation vita,ios
8484	playstation 2	microsoft windows,classic mac os,playstation 2
8521	sega 32x	ms-dos,32x,atari jaguar,super nintendo entertainment system,playstation (console),3do interactive multiplayer,sega saturn,acorn archimedes,game boy advance,xbox,xbox 360,ios,playstation 3
8556	apple macintosh	microsoft windows,classic mac os,macos
8569	nintendo 64	ms-dos,android (operating system),game.com,ios,linux,classic mac os,microsoft windows,nintendo 64,macos,playstation (console),playstation 3,playstation vita,sega genesis,sega saturn,xbox 360,playstation 4,xbox one
8993	arcade game	nintendo entertainment system,arcade game
10322	microsoft windows	microsoft windows,os x
10503	linux game	linux,macintosh,windows
11122		
11790	game boy advance	game boy advance
12372	zx spectrum	arcade game,amstrad cpc,commodore 64,playstation 4,nintendo entertainment system,game boy,microsoft windows,mobile phone,msx,nec pc-8801,nintendo ds,nintendo eshop,pc engine,playstation,playstation network,playstation portable,sega saturn,sharp x1,sharp x68000,turbografx-16,windows store,zx spectrum
13611	ms-dos	ms-dos,classic mac os
13612	nintendo 64	ms-dos,classic mac os,playstation (console),sega saturn,nintendo 64
13613	mac os x	microsoft windows,macintosh
13614	apple macintosh	amigaos,linux,classic mac os,microsoft windows,os x
14323	basic	basic,ti-99/4a
16892	nintendo 3ds	family computer disk system,nintendo entertainment system,game boy advance,nintendo 3ds
19668	apple ii	commodore 64,apple ii,ibm pc,amiga,atari st,nintendo entertainment system
21218	sega saturn	sega saturn,playstation 2,microsoft windows,playstation 3,xbox 360
21489		
24947	arcade game	arcade game
25215	sega dreamcast	microsoft windows,linux,macos,dreamcast,playstation 2,xbox 360,ios
25216	nintendo 64	microsoft windows,amigaos,classic mac os,nintendo 64,playstation (console),linux,xbox 360,zeebo,dreamcast
25266	nintendo 64	ms-dos,amigaos,classic mac os,sega saturn,nintendo 64,linux,microsoft windows,zeebo
25913	zx spectrum	amiga,amstrad cpc,atari st,commodore 64,game boy,mobile phone,java me,msx,pc-88,nintendo entertainment system,turbografx-16,sega master system,virtual console,x68000,xbox 360,xbox live arcade,zx spectrum
26055	nintendo super famicom	super famicom
26559	ms-dos	ms-dos,microsoft windows,linux,ios
26569	playstation 2	microsoft windows,linux,mac os x,xbox (console),playstation 2
26570	playstation 2	playstation 2,microsoft windows,mac os x,n-gage (device)
26809	nintendo 64	microsoft windows,classic mac os,nintendo 64
27801	super nintendo entertainment system	super nintendo entertainment system
28341	ms-dos	amiga,amiga cd32,ms-dos,risc os
28760	zx spectrum	acorn archimedes,acorn electron,amiga,amiga cdtv,amstrad cpc,atari st,bbc micro,commodore 64,desqview,dos,epoc (computing),fm towns,ios (apple),ipod touch,iphone,ipad,nec pc-9801,game boy advance,olpc xo-1,ibm os/2,linux,mac os,mobile phone,symbian,java (programming language),news,browser game,sharp x68000,super nintendo entertainment system,tk (computing),unix,microsoft windows,x window system,tcl,sinclair zx spectrum,wii,virtual console
28762		
29180	ms-dos	ms-dos,mac os,microsoft windows,os x,linux
30339	sega mega drive/genesis	electronika 60,acorn electron,amiga,amstrad cpc,amstrad pcw,apple ii,apple iigs,atari st,arcade game,bbc micro,cd-i,commodore vic-20,commodore 64,fm-7,game boy,game boy color,mac os,msx,nintendo entertainment system,pc-8801,pc-9801,mega drive,ms-dos,trs-80 coco,wonderswan color,x68000,zx spectrum
30492	nintendo gamecube	microsoft windows,mac os,playstation 2,xbox (console),gamecube
32193	apple macintosh	microsoft windows,mac os
32722	sega 32x	arcade game,sega saturn,sega 32x,tiger r-zone,microsoft windows
33430	playstation 3	ms-dos,classic mac os,super nintendo entertainment system,atari jaguar,3do interactive multiplayer,game boy advance,linux,ios,playstation 3,xbox 360
34168	playstation	playstation (console)
34419	apple ii	pdp-10,atari 8-bit family,commodore 64,cp/m,trs-80,ibm pc,apple ii,amiga,amstrad cpc,amstrad pcw,macintosh,atari st,ms-dos,pc-9800 series,msx,playstation,sega saturn,texas instruments ti-99/4a
34487	sega mega drive/genesis	super nintendo entertainment system,sega genesis,game boy,sega game gear,dos,sega saturn,atari jaguar,playstation (console)
36735	game boy advance	game boy advance
36867	sega dreamcast	microsoft windows,linux,playstation 2,dreamcast
36950	apple macintosh	mac os,mac os x,linux,microsoft windows
39292	playstation	arcade game,playstation (console)
42256	nintendo game boy	atari st,game boy,game gear,super nintendo entertainment system
47543	sega mega drive/genesis	arcade game,sega mega drive,pc engine,turbografx-16
47785	nintendo game boy	nintendo entertainment system,nintendo vs. system,playchoice-10,game boy,game boy advance
48687	nintendo gamecube	microsoft windows,os x,gamecube,xbox (console)
49093	nintendo 64	microsoft windows,nintendo 64,playstation (console),mac os,game boy color,dreamcast,playstation network
49615	nintendo wii	game boy advance,virtual console
49626	apple ii	amiga,amstrad cpc,apple ii family,atari 8-bit family,atari st,commodore 64,commodore plus/4,ms-dos,trs-80,ti-99/4a,apple macintosh
52720	playstation	playstation (console)
52727	sega saturn	arcade game,sega saturn,xbox 360
52753	playstation	nintendo entertainment system,wonderswan,playstation (console),game boy advance,playstation portable,ios,android (operating system)
52754	nintendo ds	super nintendo entertainment system,playstation (console),wonderswan color,game boy advance,nintendo ds,freedom of mobile multimedia access,playstation portable,ios,android (operating system),microsoft windows
52755	playstation	super nintendo entertainment system,playstation (console),game boy advance,android (operating system),ios,microsoft windows
52756	playstation 4	playstation (console),microsoft windows,ios,playstation 4,android (operating system)
52757	playstation	playstation (console),microsoft windows
52758	playstation	playstation (console),ios,android (operating system),microsoft windows
52759	playstation 2	playstation 2
52761	playstation	playstation (console)
52762	nintendo wii	super nintendo entertainment system,virtual console
52763	nintendo game boy	game boy,wonderswan,android (operating system)
52764	nintendo game boy	game boy,softbank mobile,i-mode,au (mobile phone company),playstation vita,ios (apple),android (operating system)
52767	playstation	super nintendo entertainment system,playstation (console),game boy advance,ios,android (operating system),microsoft windows
52816	playstation 2	microsoft windows,playstation 2,os x,linux
53953		
58989	ms-dos	amigaos,ms-dos,linux,microsoft windows,os x
58990	apple macintosh	microsoft windows,linux,classic mac os
59862	apple macintosh	mac os
61139	apple macintosh	microsoft windows,classic mac os,mac os x
66495	nintendo ds	nintendo entertainment system,nintendo ds,ios,android (operating system),playstation portable,ouya,windows phone,microsoft windows
66654	sega mega drive/genesis	amiga,acorn archimedes,atari st,fm towns,ms-dos,game boy,mac os,master system,nec pc-9801,pc engine,sega genesis,sharp x68000,super nintendo entertainment system
67461	ms-dos	ms-dos,classic mac os
67840	sega mega drive/genesis	arcade game,acorn archimedes,amiga,atari st,amiga cd32,dos,game boy,sega game gear,sega master system,sega genesis,super nintendo entertainment system
69179	commodore amiga	amiga
70653	super nintendo entertainment system snes	amiga,dos,mega drive,nes,nintendo entertainment system,pc,playstation,sega saturn,super nes,super nintendo entertainment system
73963	nintendo 64	nintendo 64,ique player
74255	arcade game	arcade game
74337	arcade game	arcade game,space invaders
80811	microsoft windows	microsoft windows
80812	microsoft windows	microsoft windows
80839	commodore 64	commodore 64,ms-dos,amiga,atari st,fm towns
80840	ms-dos	dos,amiga,atari st,macintosh,fm towns,amiga cdtv
80841	turbografx	dos,mac os,amiga,atari st,fm towns,turbografx-16,microsoft windows
80845	nintendo wii	dos,mac os,amiga,fm towns,microsoft windows,wii
80867	ms-dos	dos,mac os,microsoft windows,amiga
80917	playstation 4	ms-dos,mac os,microsoft windows,os x,linux,playstation 4,playstation vita
80928	ms-dos	ms-dos,mac os
80981	sega mega cd	amiga,atari st,cdtv,fm towns,classic mac os,macos,ms-dos,sega cd,ios,microsoft windows,os x,playstation 3,xbox 360
80982	microsoft windows	microsoft windows
81065	playstation 4	android (operating system),ios,linux,microsoft windows,os x,playstation 4,playstation vita
81107	zx spectrum	nintendo entertainment system,commodore 64,amstrad cpc,apple ii,atari 2600,atari 5200,atari 7800,atari 8-bit family,game boy advance,super mario advance,gamecube,animal crossing (video game),zx spectrum,game &amp; watch
81111	game boy advance	nintendo entertainment system,playchoice-10,game boy advance
81114	game boy advance	super nintendo entertainment system,game boy advance
81118	nintendo gamecube	gamecube
81603	sega dreamcast	dreamcast,playstation 2,game boy advance
83554	game boy advance	super nintendo entertainment system,game boy advance
83555	nintendo 64	nintendo 64,ique player
85409	sega dreamcast	dreamcast
88509	apple ii	atari 8-bit family,commodore 64,apple ii family,ibm pc
88522	super nintendo entertainment system	super nintendo entertainment system
88528	nintendo 64	nintendo 64,ique player
88560	nintendo 64	nintendo 64,game boy color,virtual console
89120	linux game	microsoft windows,linux
89271	commodore amiga	amiga,personal computer
94051	nintendo game boy	nintendo entertainment system,super nintendo entertainment system,game boy,virtual console
94057	nintendo game boy	super nintendo entertainment system,game boy
95217	playstation	microsoft windows,playstation (console)
99480	apple macintosh	unix-like,microsoft windows,mac os,ios (apple)
100062	nintendo 64	nintendo 64,ique player
100341	arcade game	arcade game
100464	nintendo game boy	game boy,nintendo eshop
101230	sega dreamcast	dreamcast,playstation 2,xbox 360,playstation 4
102493	sega mega drive/genesis	sega genesis,microsoft windows
102687	nintendo 64	nintendo 64,xbox (console),playstation 2,playstation (console),video game genre,sports game,boxing,single player,multiplayer,boxing,ea sports,electronic arts,foes of ali,3do interactive multiplayer,1995 in video gaming,gray matter (video game developer) (page does not exist),muhammad ali,eric esch,marvin hagler,sugar ray leonard,oscar de la hoya,larry holmes,jake lamotta,roberto durn,alexis argello,ray mancini,fight night (ea video game series),playstation (console),game boy color,nintendo 64,playstation 2,xbox (console),nintendo gamecube
105914	sega mega drive/genesis	arcade game,sega genesis,game boy,pc engine,turbografx-16,master system,sega saturn
106178	microsoft windows	microsoft windows
106289	atari 2600	atari 2600
106430	ms-dos	ms-dos,microsoft windows,os x,linux
113193	sega mega drive/genesis	sega genesis,super nintendo entertainment system,sega cd,game boy,sega game gear,windows 95,ms-dos,game boy advance
133266	xbox	microsoft windows,xbox (console)
140284	mac os x	microsoft windows,mac os x
140821	zx spectrum	atari st,amiga,zx spectrum,amstrad cpc,amstrad cpc plus (page does not exist),commodore 64,ms-dos
141869	game boy advance	nintendo entertainment system,playchoice-10,super nintendo entertainment system,game boy advance
143840	playstation 3	microsoft windows,playstation 3,xbox 360,os x,onlive
144231	game boy advance	super nintendo entertainment system,game boy advance
145427	sega mega drive/genesis	master system,sega genesis
147416	linux game	microsoft windows,mac os x,linux
147941	nintendo famicom	family computer disk system,super nintendo entertainment system,game boy color
149592	nintendo gamecube	gamecube
149593	nintendo 64	nintendo 64
152839	nintendo gamecube	gamecube,playstation 2,xbox (console),microsoft windows
153132	playstation	playstation (console),playstation network
153399	super nintendo entertainment system snes	snes,game boy color,game boy advance
153407	arcade game	arcade game,nintendo entertainment system,nec pc-8801,sharp x1
153414	game boy advance	super nintendo entertainment system,game boy advance
153418	super nintendo entertainment system snes	snes,game boy advance
153420	nintendo game boy	game boy
153421	nintendo 64	nintendo 64
153432	nintendo gamecube	gamecube
153436	nintendo 64	nintendo 64
153446	nintendo game boy	game boy
153448	nintendo 64	nintendo 64
153758	microsoft windows	microsoft windows
155390	sega saturn	arcade game,playstation (console),sega saturn,ibm pc clone
156252	sega mega drive/genesis	amiga,amstrad cpc,commodore 64,mega drive,ms-dos,zx spectrum,os x
156756	linux game	microsoft windows,linux,mac os x
157562	sega mega drive/genesis	arcade game,amiga,apple ii,apple iigs,atari st,commodore 64,game boy,game gear,master system,nintendo entertainment system,pc booter,sega genesis,sharp x68000,zx spectrum
157596	linux game	linux,windows
159320	apple macintosh	linux,mac os,microsoft windows,android (operating system),ubuntu touch
159943	apple macintosh	mac os,microsoft windows
161487	playstation 2	playstation 2
161673		
162176	zx spectrum	amiga,amstrad cpc,atari 8-bit family,atari st,commodore 64,dos,macintosh,tops-20,trs-80 color computer,unix,zx spectrum
162181		
163710	apple ii	apple ii series,commodore 64,ms-dos,microsoft windows,os x,linux
164309	arcade game	arcade,mobile phone,ios
165155	nintendo gamecube	arcade game,dreamcast,playstation 2,gamecube,microsoft windows,playstation 3,xbox 360,cloud computing,ios,android (operating system)
165283	ms-dos	ms-dos
165561	nintendo 64	nintendo 64,gamecube,ique player
165798	famicom disk system	famicom disk system,nintendo entertainment system,game boy advance
165820	game boy advance	super nintendo entertainment system,game boy advance
165824	nintendo 64	nintendo 64,gamecube
166791	arcade game	arcade game,pole position (video game),pole position (video game)
167579	apple macintosh	microsoft windows,macos
167723	microsoft windows	microsoft windows
167782	playstation	ibm pc compatible,ms-dos,mac os,acorn archimedes,playstation (console),pc-98
167812	nintendo 64	mac os,dos,amiga,microsoft windows,super nintendo entertainment system,sega saturn,playstation (console),nintendo 64,game boy advance,playstation network,os/2,fm towns,nec pc-9801
167813	apple macintosh	classic mac os,ios,linux,microsoft windows,mobile phone
169658	atari 2600	atari 2600,atari 5200,atari 8-bit family
169978	atari 2600	atari 2600
170531	atari 8-bit	atari 8-bit family
172310	nintendo wii	arcade game,arcadia 2001,atari 2600,nintendo entertainment system,x68000,wonderswan,virtual console,playstation 2,playstation 4
172745	nintendo 64	ms-dos,microsoft windows,mac os,playstation (console),nintendo 64,game boy color,ios,android (operating system)
173213	apple macintosh	bbc micro,mac os,mac os x,linux,microsoft windows
173424	sega dreamcast	arcade game,dreamcast,ios,xbox live arcade,android (operating system)
173426	playstation	arcade game,playstation (console)
174486	atari 2600	atari 2600
174797	apple ii	amiga,apple ii family,commodore 64,ms-dos,apple macintosh,nintendo entertainment system,pc-9800
174974	nintendo wii	ibm pc,commodore amiga,turbografx-16,turboduo,apple macintosh,x68000,sega mega-cd,super nintendo entertainment system,virtual console,microsoft windows
175998	ms-dos	ms-dos,macintosh
176965	arcade game	arcade game,nintendo entertainment system
177476	playstation 3	playstation (console),arcade game,playstation 3
177925	nintendo 64	nintendo 64,dreamcast,xbox live arcade
177953	apple macintosh	microsoft windows,linux,macos
178883	nintendo gamecube	microsoft windows,playstation 2,xbox (console),gamecube
180778	nintendo entertainment system	nintendo entertainment system
181264	super nintendo entertainment system snes	snes,ms-dos,sega 32x,classic mac os,game boy advance,windows
184411	microsoft windows	microsoft windows
185109	super nintendo entertainment system snes	nes,nintendo entertainment system,super nes
187265	ms-dos	ms-dos
188416	nintendo entertainment system nes	arcade game,atari 2600,atari 7800,atari st,amiga,amstrad cpc,commodore 64,atari lynx,zx spectrum,nes
188572	nintendo gamecube	playstation 2,xbox (console),gamecube,game boy advance
188577	playstation	playstation (console)
193035	arcade game	arcade game
193050	game boy color	nintendo entertainment system,game boy color
193087	nintendo entertainment system	nintendo entertainment system
193113	nintendo wii	nintendo entertainment system,virtual console
193146	nintendo gamecube	gamecube
194275	nintendo entertainment system	nintendo entertainment system
194471	super nintendo entertainment system snes	amiga,ms-dos,super nes,windows 3.1x,macintosh,nec pc-9801
198005	super nintendo entertainment system	super nintendo entertainment system
198433	nintendo 64	nintendo 64
198435	nintendo 64	nintendo 64
198997	3do	ms-dos,3do interactive multiplayer,os x
201171	zx spectrum	atari 8-bit,apple ii,commodore 64,amiga,ms-dos,macintosh,nintendo entertainment system,amstrad cpc,zx spectrum,nec pc-8801
201704	linux game	microsoft windows,mac os x,linux
206030	arcade game	arcade game
206199	nintendo gamecube	dreamcast,gamecube,microsoft windows
207125	ms-dos	dos,macintosh
207132	microsoft windows	microsoft windows
207198	microsoft windows	microsoft windows
207202	pc game	ibm pc,microsoft windows
207203	microsoft windows	microsoft windows
207262	ms-dos	microsoft windows,os x,linux,ms-dos,mac os,amigaos
207985	zx spectrum	amiga,amstrad cpc,atari st,commodore 64,zx spectrum,dos
207995	sega mega drive/genesis	arcade game,nintendo entertainment system,amiga,commodore 64,amstrad cpc,atari st,master system,zx spectrum,sega genesis,turbografx-16,fm towns,x68000,virtual console
208057	microsoft windows	microsoft windows
208378	sega mega drive/genesis	arcade game,commodore 64,zx spectrum,amstrad cpc,atari st,amiga,nintendo entertainment system,master system,turbografx-16,fm towns,wonderswan,game boy color,sega saturn,playstation (console),sega genesis,mobile phone
209920	ms-dos	ms-dos
210873	playstation 2	playstation 2
211077	nintendo 64	microsoft windows,nintendo 64,game boy color
213483	sega mega drive/genesis	arcade game,game gear,sega genesis,super nintendo entertainment system,game boy,sega cd
213502	apple ii	apple ii series
213505	nintendo entertainment system	nintendo entertainment system
215467	nintendo gamecube	64dd,gamecube
216017	playstation	playstation (console),microsoft windows
219318	ms-dos	personal computer,dos,amiga
219324	ms-dos	dos
219325	ms-dos	ms-dos,microsoft windows,apple macintosh
219729	playstation 3	amiga,fm towns,mac os,ms-dos,ios,microsoft windows,playstation 3,xbox 360,xbox one
219731	nintendo 3ds	mac os,sega saturn,playstation (console),3do interactive multiplayer,microsoft windows,atari jaguar cd,cd-i,amigaos,playstation portable,nintendo ds,ios,nintendo 3ds,android (operating system)
221627	apple ii	arcade game,apple ii,atari 2600,atari 5200,atari 7800,atari 8-bit family,atari lynx,atari st,ibm pc,macintosh,nintendo entertainment system
223491	playstation	mac os,playstation (console),microsoft windows
224540	ms-dos	amiga,amiga cd32,ms-dos
224662	super nintendo entertainment system snes	amiga,amiga cd32,pc dos,mega drive,game gear,super nes,3do interactive multiplayer,philips cd-i
224747	sega mega drive/genesis	arcade game,amiga,amstrad cpc,atari st,cp system,commodore 64,sharp x68000,sega saturn,playstation (console),playstation 2,supergrafx,sega master system,sega genesis,virtual console,zx spectrum
227122	nintendo game boy	game boy,nintendo eshop
227273	nintendo gamecube	gamecube,playstation 2,xbox (console),windows
227302	nintendo entertainment system	nintendo entertainment system
230325	game boy advance	game boy advance
230552	ms-dos	ms-dos
231176	apple ii	apple ii family,atari st
231552	sega dreamcast	arcade game,dreamcast,playstation portable
232381	sega mega drive/genesis	arcade game,atari st,sega master system,sega mega drive,sega mega-cd,sega game gear,turbografx-16,fm towns,nec pc-8801,nec pc-9801,msx2,super nintendo entertainment system,game boy color,xbox 360,playstation 3,virtual console,ios
232638	nintendo gamecube	microsoft windows,mac os,xbox (console),playstation 2,gamecube
232729	microsoft windows	microsoft windows
232766	nintendo gamecube	gamecube,microsoft windows,playstation 2,xbox (console)
233457	ms-dos	ms-dos
234683	playstation	arcade,playstation
236033	zx spectrum	arcade game,super nintendo entertainment system,amiga,atari st,commodore 64,zx spectrum,dos,game boy,playstation (console),sega saturn,playstation portable,capcom classics collection reloaded,ios,playstation 2,xbox (console),java me,wii virtual console,nintendo switch
237478	ms-dos	amiga,dos,microsoft windows,macintosh,linux
238677	playstation 2	playstation 2,microsoft windows,xbox (console),os x,ios,android (operating system),fire os
239277	nintendo game boy	arcade game,super nintendo entertainment system,game boy,xbox one
240698	sega saturn	macintosh,dos,pc-fx,playstation,sega saturn,fm towns
240931	playstation 2	playstation 2
244576	nintendo game boy	arcade game,atari 2600,atari 5200,atari 8-bit family,game boy,atari lynx
246953	nintendo gamecube	xbox (console),microsoft windows,playstation 2,gamecube,game boy advance,mobile phone,n-gage (device),mac os x,playstation 3
251212	linux game	microsoft windows,os x,linux
252922	commodore 64	amiga,atari st,commodore 64,ms-dos,super nintendo entertainment system
252970	ms-dos	atari st,amiga,ms-dos,macintosh,next
