playstation	sony,playstation (console),psx,ps-x,sony playstation,sony ps-x,sony computer entertainment,
playstation 2	ps2,ps 2,sony playstation 2,sony ps2,linux for playstation 2,playstation broadband navigator,
playstation 3	ps3,ps 3,sony playstation 3,sony ps3
playstation 4	ps4,ps 4,sony playstation 4,sony ps4
nintendo ds	nintendo ds lite,ds,nintendo dsi xl,nintendo dsi clock photo stand type,nintendo dsi,dsiware,nintendo dsiware,list of dsiware games and applications,nintendo 2ds,namco museum ds,
playstation store	
nintendo wii	wii,nintendo eshop,wii homebrew,wii virtual console,virtual console,wiiware
commodore amiga	amiga advanced graphics architecture,amigaos,amiga os,amiga,advanced graphics architecture,amiga 600,amiga cd32,amiga,amiga 4000,amiga 1200,amigados,amiga 500,amigaos 4,
commodore 64	c64,c64 direct-to-tv,commodore international,commodore c64 games system,commodore c64,commodore 64 games system,
ms-dos	microsoft dos,pcdos,pc dos,dosbox,disk operating system,dos,
sony psp	playstationportable (page does not exist),playstation portable,sony playstation portable,psp,list of playstation minis,ps minis,psp go,
game boy advance	nintendo e-reader,gameboy advance,game boy advanced,gameboy advanced,
nintendo 64	n64,
xbox	x-box,xbox (console),x-box (console)
xbox 360	x-box 360,xbox360,x-box360,kinect,
xbox one	x-box one,xboxone,x-boxone,xbone
nintendo gamecube	gamecube,game cube,
nintendo 3ds	3ds virtual console,new nintendo 3ds,3dsware,nintendo 3ds xl,nintendo 3ds family,nintendo 3ds eshop,3ds,
nintendo game boy	game boy,gameboy,konami gb collection,gb,super game boy,super game boy 2,game boy line,
sega mega drive/genesis	sega mega drive,sega genesis,mega drive,genesis,sega genesis collection,sega mega drive/sega genesis,sega channel,mega drive/genesis,mega cd,
ios game	mac ios,i-os,iphone,ios,ios game,ios (apple),ios devices,app store,apple iphone,ios (operating system),appleios,app store (ios),mac app store,ipad,ipad game,ipad 2,iphone os,
sega dreamcast	dreamcast,dream cast,sega dream cast,
sega saturn	saturn
sega mega cd	sega mega-cd,sega cd,mega-cd,sega-cd,
game boy color	nintendo game boy color
atari 2600	atari vcs,vcs,video computer system,atari,atari flashback,
playstation vita	playstation tv,ps vita,playstation mobile,playstation suite,
apple ii	apple ii plus,apple ][,apple 2,apple iie,apple iigs,apple ii family,apple ii+,apple iic,apple iii,apple ii series,macintosh ii,
flash game	adobe flash player,adobe flash,flash player,macromedia flash,flash video,macromedia shockwave,shockwave,shockwave game,microsoft silverlight,silverlight,
atari 8-bit	atari 520st,atari 8-bit family,atari xe,atari 800,atari 400,
apple macintosh	mac os,macos,classic mac os,apple mac os,mac os history,mac os 9,mac os 8, mac os (page does not exist),mac os 7.6,mac os 7,mac os classic,apple os,
mac os x	mac os x lion,mac os-x,macintosh os-x,macintosh os x,os/x,mac os x leopard,osx,apple osx,apple os x,apple computer,macos 7.5 (page does not exist),macintosh plus,system 7 (macintosh),macintosh,mac gaming,mac,mac games,system 7,macintosh se,universal binary,
sega master system	master system,
android mobile game	android game,android mobile,android,android (os),android os,android (operating system),google android,android (software),android operating system,
xbox live arcade	xbla,game room,xbox live indie games,xbox live primetime,
msx	msx turbo r
msx2	msx 2,
intellivision	mattel intellivision,
wii u	nintendo wii u,nintendo wii-u,wii-u,
mobile game	mobile phone,smartphone,cellular phone,phone,mobile telephone,mobile gaming,cellphone,mobilegame,mobile phones,t-mobile,verizon wireless,mobile games,mobile device,mobile devices,mobile operating system,mobile os,au (mobile phone company),softbank mobile,mobile information device profile,smart phone,cell phone,wipi,binary runtime environment for wireless,
linux game	ubuntu (operating system),linux,
